objectid,filename,compound,soundcloud ,youtubeid,embed_code,title,creator,date,description,subject,material,technique,measurements,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,artiststatement,artistbio
coll001,gershone_hannah_052022.jpg,gershone_hannah_052022b.jpg;gershone_hannah_052022c.jpg,,,,Tuna Series 001,Hannah,2019-10-04,"Artistic Photograph of Tuna, Her Majesty, On Top of the Bed",cats; fluffy; god's gift,ceramic; linen,iphone 7,5cm x 5cm x 6 cm,"Eugene, Oregon",44.090365481042,-123.117059527930,Hannah's iphone,gershone_hannah_102022_photograph,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable clawsiths on ws in hunh.","The domestic cat's hearing is most acute in to"
coll003,tasty_cats_11_2022.jpg,tasty_cats_11_2022b.jpg;tasty_cats_11_2022c.jpg,,,,Tuna Series 003,John,2007-12-05,Tuna on Morning Sunlit Bed,cats; morning; sunlight; sleeping,paper; cotton,iphone 7,11 cm x 11 cm x 15 cm,"Tuscon, Arizona",32.2575064556571,-110.9799455024610,John's iphone,john_cindy_112022_photograph,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll004,test004.jpg,,,,,Tuna 004,Apple,1999-10-09,Tuna On Back Making Jabba Face On Blanket,cats; jabba; sleepy,metal; fiber glass,iphone 7,12 cm x 13 cm x 13 cm,"Flagstaff, Arizona",35.2019498373850,-111.6124246518550,Apple's iphone,apple_cake_112022_photograph,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll005,test005.jpg,,,,,Tuna 005,Banana,2008-11-01,Tuna Lying On Striped Blanket,cats,baking soda; crust,iphone 7,14 cm x 14 cm x 15 cm,"South Hadley, Massachusetts",42.2593433899354,-72.5505182674439,Banana's iphone,banana_sauce_122022_phtograph,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll006,,,,8bP3sfW9pCw,,SAF,Asako Yonan,2022-11-03,Hyper-Reality Video for Class Assignment,hyperreal;haunting;incarceration,apples; paper,Adobe After Effects,,"Eugene, Oregon",44.0902421862806,-123.1682146155980,Asako's repsitory,yonan_asako_102022_film,Image;MovingImage,video/mp4,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll007,test007.pdf,,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8bP3sfW9pCw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Juicy ,Octopus,2022-11-04,Test Literary Document,juicy,juice boxes; bubble wrap,literary criticism,,"Madison, Wisconsin",43.0769478506126,-89.4208422284065,Octopus's computer,friendly_octopus_112022_memoir,Text,application/pdf,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll008,,,,,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1356978682&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-613711996"" title=""h"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">h</a> · <a href=""https://soundcloud.com/user-613711996/test-recording"" title=""Test Recording"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Test Recording</a></div>",,Starfish,2022-11-05,Test Audio of Clapping,clapping,crackers; soup,experimental audio,,"Austin, Texas",30.2896768408684,-97.6775062536411,Starfish computer,angry_starfish_112022_audio,Sound,audio/mp3,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll009,test009.pdf,,,,,,Grape,2022-11-06,Blank Page,blank,chocolate pie; fish,random,,"Denver, Colorado",39.7705882270207,-104.9217253452800,Grape Archive,grape_juicy_112022_fiction,Text,application/pdf,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll010,test010.pdf,,,,,,Orange,2022-11-07,Random Text,random,burlap; glass,random,,"San Francisco, California",37.7842749844135,-122.4327958670720,Orange Archive,orange_dry_112022_novel,Text,application/pdf,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,"Cats have protractible and retractable claws. In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads. This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey. The claws on the forefeet are typically sharper than those on the hindfeetCats can voluntarily extend their claws on one or more paws. They may extend their claws in hunting or self-defense, climbingor for extra traction on soft surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping. Some cat breeds are prone to having extra digits Polydactylous cats occur along North America's northeast coast and in Great Britain. surfaces. Cats shed the outside layer of their claw sheaths when scratching rough surfaces Most cats have five claws on their front paws and four on their rear paws. is to the other claws. More proximally is a protrusion which appears to be a sixth. This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to.","The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz. It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz. It can hear a range of 10.5 , while humans and dogs can hear ranges of about 9 octaves. Its hearing sensitivity is enhanced by its large movable outer ears, the  which amplify sounds and help detect the location of a noise. It can detect  which enables it to detect ultrasonic calls made by  Recent research has shown that cats have socio-spatial cognitive abilities to"
coll11,,,user-944694772/robert-wrigley-ctrl-shift-interview-conducted-by-devin-becker,,,Soundcloudtest,Devin Becker,7/6/05,An interview with Robert Wrigley about the ways his writing practice changed with the advent of the digital age and the prevalance of computers,soundcloud,,,,,,,,,Sound,audio/mp3,eng,,,,
